Processes: 303 total, 2 running, 301 sleeping, 1490 threads
2021/10/12 15:53:43
Load Avg: 1.23, 1.25, 1.18
CPU usage: 4.67% user, 26.16% sys, 69.15% idle
SharedLibs: 157M resident, 52M data, 30M linkedit.
MemRegions: 129813 total, 1685M resident, 52M private, 532M shared.
PhysMem: 8172M used (2223M wired), 18M unused.
VM: 5177G vsize, 1371M framework vsize, 12836793(0) swapins, 13807265(0) swapouts.
Networks: packets: 19427236/22G in, 10440141/967M out.
Disks: 18380597/185G read, 41489324/419G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS    COW     MSGSENT    MSGRECV    SYSBSD     SYSMACH    CSW        PAGEINS  IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
94130  com.apple.WebKit 0.0  00:02.14 4     1   128+   38M+   0B     36M+   94130 1     sleeping  0[334+]    0.00000 0.00000    501 96899+    471+    15018+     6910+      29086+     48797+     27330+     171+     1235     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94126  Python           0.0  00:06.06 4     1   187+   77M+   0B     73M+   39243 39243 sleeping  0[692+]    0.00000 0.00000    501 190275+   1249+   27724+     6931+      23819+     408980+    35572+     710+     384      0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94108  com.apple.WebKit 0.0  00:00.59 4     1   97+    7688K+ 0B     7192K+ 94108 1     sleeping *0[173+]    0.00000 0.00000    501 12110+    387+    5635+      2592+      14767+     25029+     11947+     80+      1394     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94102  com.apple.WebKit 0.0  00:42.66 10    1   209+   378M+  0B     247M+  94102 1     sleeping  0[355+]    0.00000 0.00000    501 367900+   1777+   323418+    124135+    306853+    672671+    425028+    567+     35459    0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
94101  com.apple.WebKit 0.0  00:45.79 5     1   124+   147M+  0B     129M+  94101 1     sleeping  0[346+]    0.00000 0.00000    501 251036+   529+    94671+     53897+     294257+    1170129+   240888+    332+     5036     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
93589  com.apple.WebKit 0.0  00:04.78 4     1   124+   30M+   0B     28M+   93589 1     sleeping  0[794+]    0.00000 0.00000    501 75931+    817+    42213+     20339+     92809+     120307+    64116+     208+     1844     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
93345  com.apple.WebKit 0.0  00:05.33 4     1   129+   96M+   0B     94M+   93345 1     sleeping  0[892+]    0.00000 0.00000    501 150269+   7287+   32351+     16186+     59173+     78677+     51224+     217+     1725     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
93159  com.apple.WebKit 0.0  00:10.02 5     1   126+   93M+   0B     30M+   93159 1     sleeping *0[777+]    0.00000 0.00000    501 210230+   526+    49850+     23756+     140695+    171884+    87340+     1454+    3278     0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
93041  sandboxd         0.0  00:05.26 6     5   70+    9880K+ 0B     8580K+ 93041 1     sleeping *0[1+]      0.00000 0.00000    0   122510+   161+    20642+     9505+      115354+    27761+     39327+     7861+    4383     0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A
92745  bash             0.0  00:00.04 1     0   21+    656K+  0B     648K+  92745 39243 sleeping *0[1+]      0.00000 0.00000    501 1276+     469+    72+        28+        12334+     133+       213+       162+     0        0.0   0      0      ganslev  N/A    N/A   N/A   N/A   N/A   N/A
